Event ID,Director ID
21301,468
21301,633
21302,1447
21303,1529
21304,793
21305,2307
21307,2390
21308,689
21309,1171
21310,520
21311,1324
21312,183
21312,2166
21313,2370
21314,999
21315,2370
21316,2370
21319,1288
21320,2306
21321,1756
21322,255
21323,1012
21324,680
21325,1608
21326,1603
21327,1520
21328,1160
21329,780
21330,2325
21331,785
21332,743
21333,2395
21334,1300
21335,2263
21336,1436
21337,2036
21338,85
21339,85
21344,85
21345,2370
21346,502
21347,504
21348,340
21349,1854
21350,446
21351,1336
21352,499
21354,26
21355,1874
21356,1074
21357,2213
21358,1136
21359,1817
21360,2370
21361,2370
21362,485
21363,2406
21364,287
21365,819
21366,2212
21367,2184
21368,2212
21369,2400
21371,301
21372,1252
21373,1155
21377,1314
21378,1029
21379,1616
21380,1166
21381,1298
21382,2389
21383,380
21384,143
21384,1356
21385,672
21386,1659
21387,1995
21388,136
21389,398
21390,2214
21391,2142
21392,1436
21393,2317
21394,1436
21395,1436
21401,1509
21402,792
21403,2352
21404,1703
21405,1258
21406,255
21407,490
21408,1180
21409,600
21410,1647
21411,279
21412,55
21413,784
21414,2235
21415,85
21416,2183
21417,1040
21417,1423
21418,1940
21419,1082
21420,1442
21422,1841
21425,650
21426,1206
21427,1298
21428,927
21429,927
21430,79
21430,505
21431,242
21432,1952
21433,1503
21434,1024
21435,329
21436,1630
21437,709
21438,1438
21439,650
21440,1021
21441,2041
21442,2347
21446,751
21447,751
21449,1807
21450,72
21453,1012
21454,1829
21455,161
21456,956
21457,2134
21465,1713
21466,2298
21467,1612
21469,751
21470,751
21471,751
21472,751
21473,2176
21475,2283
21476,1084
21477,545
21478,1242
21479,247
21480,977
21481,579
21482,1971
21483,540
21484,1088
21485,1545
21486,1803
21487,2134
21488,2134
21489,2134
21491,1143
21492,2259
21494,2410
21497,2444
21498,1508
21499,286
21500,2235
21501,1800
21502,1765
21503,1765
21504,1309
21505,814
21506,1144
21507,1747
21508,1537
21509,435
21510,1655
21511,531
21512,1897
21513,811
21514,341
21515,1411
21516,822
21517,513
21518,814
21519,748
21520,1866
21521,403
21529,1383
21530,545
21530,1821
21531,225
21532,2199
21533,92
21534,534
21535,534
21536,101
21537,329
21538,329
21539,2079
21541,1605
21542,943
21549,1982
21550,918
21553,781
21554,820
21555,1770
21556,1532
21557,820
21558,1583
21559,1184
21561,1575
21562,1184
21563,1184
21564,1803
21565,1643
21566,1037
21571,1389
21572,2169
21573,2359
21574,1247
21575,1704
21576,1527
21577,563
21578,562
21579,1118
21580,564
21581,1768
21582,1357
21583,366
21584,2194
21586,1802
21587,1668
21588,1906
21589,944
21590,598
21590,699
21591,1353
21594,972
21594,1759
21595,1631
21596,1156
21598,797
21599,2316
21600,2160
21601,507
21603,1990
21604,906
21605,1281
21606,1357
21607,1357
21608,1862
21609,1611
21610,2020
21612,298
21613,1357
21614,418
21615,1868
21616,662
21617,969
21618,1357
21619,1357
21620,2256
21621,333
21623,491
21624,878
21625,743
21626,398
21627,1672
21628,2256
21629,2256
21630,2256
21631,1569
21632,1364
21637,2315
21638,552
21639,264
21642,5
21643,2409
21645,2256
21646,1298
21647,767
21648,965
21649,1369
21654,2410
21656,1637
21657,1709
21658,397
21659,226
21660,2444
21666,574
21667,2065
21668,778
21668,2188
21670,1718
21670,1859
21671,1189
21672,976
21673,145
21674,264
21677,259
21678,1172
21679,490
21680,718
21681,1497
21682,704
21683,714
21684,714
21685,2199
21686,1415
21688,1897
21689,1996
21690,1239
21690,2351
21691,486
21692,2086
21693,1809
21694,613
21694,1032
21695,608
21696,1521
21698,1599
21699,2050
21700,284
21701,1000
21702,1616
21703,420
21716,504
21717,2199
21719,55
21720,313
21724,1590
21725,1005
21726,688
21727,1122
21728,72
21729,936
21730,72
21731,72
21732,72
21733,708
21733,1280
21734,173
21735,817
21736,1231
21737,1805
21738,347
21739,24
21740,1630
21741,1209
21742,1360
21743,2099
21744,10
21745,1205
21746,1023
21747,2456
21748,714
21749,1464
21750,1555
21751,709
21752,1462
21755,1358
21756,1306
21757,1756
21758,395
21759,23
21760,2076
21761,1408
21762,2034
21763,1088
21765,1886
21766,622
21767,744
21773,744
21774,744
21775,622
21776,622
21777,1838
21778,234
21779,1298
21780,1298
21781,2049
21782,1635
21785,1298
21786,1969
21787,1158
21788,1991
21789,2235
21790,1298
21791,552
21792,2027
21793,1611
21795,1872
21796,22
21797,2443
21798,767
21799,1060
21800,2164
21802,57
21808,814
21809,814
21810,259
21811,1241
21812,659
21813,1338
21814,220
21815,1134
21816,2349
21817,1043
21818,404
21819,743
21820,1841
21821,843
21826,191
21828,80
21829,66
21830,1993
21831,1125
21834,2006
21835,2189
21836,2308
21837,1600
21839,2307
21840,1297
21840,2244
21841,530
21841,725
21842,51
21842,692
21843,1310
21844,1750
21845,1442
21846,1556
21847,2101
21848,1802
21850,1116
21851,400
21852,1572
21853,1688
21854,131
21855,2431
21856,2401
21857,1947
21858,776
21859,1037
21860,1037
21861,1037
21862,1679
21863,350
21864,1679
21865,404
21866,1325
21867,1644
21868,2323
21869,1791
21870,218
21871,1376
21872,1378
21874,219
21877,1037
21878,2003
21879,101
21880,101
21881,101
21882,101
21883,101
21884,101
21885,101
21886,101
21887,101
21890,977
21892,2050
21894,980
21895,1041
21898,2368
21899,750
21900,980
21901,1037
21902,2011
21903,1037
21906,1041
21906,1467
21907,2120
21908,733
21909,1041
21909,1467
21910,1118
21921,1460
21922,843
21926,1600
21927,124
21928,198
21930,1037
21931,1769
21932,374
21932,1058
21933,1981
21934,1492
21935,2272
21936,1630
21937,436
21938,436
21939,1248
21944,727
21945,2262
21946,1430
21947,880
21949,1622
21950,316
21951,1037
21952,1037
21953,1037
21954,1190
21955,2003
21956,2387
21957,143
21957,1356
21958,1983
21958,2331
21959,2295
21960,2389
21961,2389
21962,2389
21963,2389
21964,2389
21970,2365
21974,55
21975,964
21982,2262
21983,901
21984,2228
21985,728
21986,1957
21988,278
21989,2389
21990,374
21990,439
21990,1715
21991,886
21992,2433
21993,1668
21994,1037
21995,1660
21996,1010
21997,502
22000,1548
22001,1970
22004,947
22005,947
22006,2389
22007,911
22008,1265
22009,1456
22010,627
22011,340
22012,502
22013,392
22014,886
22015,1993
22016,1363
22017,5
22018,569
22019,124
22020,886
22021,1120
22022,541
22023,1371
22024,727
22025,886
22026,643
22027,1069
22028,1077
22029,1959
22030,75
22031,592
22032,1752
22033,1413
22034,1398
22035,2380
22036,477
22037,1984
22038,1917
22039,975
22040,36
22042,660
22046,2348
22047,984
22048,2354
22049,325
22050,55
22051,2352
22052,474
22052,939
22053,1252
22054,329
22055,895
22056,1217
22057,1210
22058,2162
22059,1461
22060,1683
22061,709
22062,1630
22063,816
22064,1252
22065,327
