ID,Title,Alternative title,Year released,Certificate,Preview?,Live?
21301,The Blair Witch Project,,1998,15,0,0
21302,Ratcatcher,,1999,15,0,0
21303,Onegin,,1999,12,0,0
21304,Taxi,,1999,15,0,0
21305,Run Lola Run,,1998,15,0,0
21307,Rushmore,,1998,15,0,0
21308,Faust,,1926,PG,0,0
21309,Stop Making Sense,,1984,PG,0,0
21310,The Titchborne Claimant,,1998,PG,0,0
21311,Boys Don't Cry,,1999,18,0,0
21312,Yana's Friends,,1999,,0,0
21313,I bambini ci guardano,The Children Are Watching Us,1942,,0,0
21314,The Last Days,,1998,PG,0,0
21315,Un garabaldino al convento,A Garibaldian in the Convent,1941,,0,0
21316,Bicycle Thieves,Ladri di biciclette,1948,U,0,0
21319,Point Break,,1991,18,0,0
21320,Wintersleepers,Winterschläfer,1997,15,0,0
21321,"Late August, Early September","Fin août, début septembre",1999,15,0,0
21322,L'Appât,The Bait,1995,18,0,0
21323,The Portrait of a Lady,,,12,0,0
21324,Le bonheur est dans le pré,,1995,15,0,0
21325,Drop Dead Gorgeous,,1999,15,0,0
21326,Heathers,,,18,0,0
21327,"Happy, Texas",,1999,,0,0
21328,Pink Flamingos,,1972,18,0,0
21329,Hold Me While I'm Naked,,1966,,0,0
21330,South Park Bigger Louder & Uncut,,1999,15,0,0
21331,The Devil's Cleavage,,1973,18,0,0
21332,Sitcom,,1998,18,0,0
21333,The Exorcist,,1973,18,0,0
21334,The Devils,,1971,18,0,0
21335,Monty Python's Life of Brian,,1979,15,0,0
21336,Viridiana,,1961,15,0,0
21337,EDtv,,1999,12,0,0
21338,Strangers on a Train,,1951,PG,0,0
21339,Rebecca,,1940,PG,0,0
21344,Vertigo,,1958,PG,0,0
21345,La Ciociara,Two Women,1961,15,0,0
21346,The Straight Story,,1999,U,0,0
21347,The Winslow Boy,,1999,U,0,0
21348,Romance,,1999,18,0,0
21349,8 1/2 Women,,,15,0,0
21350,East is East,,1999,15,0,0
21351,After Life,,1998,PG,0,0
21352,Great Expectations,,1946,PG,0,0
21354,Forgive and Forget,,1999,,0,0
21355,Bullitt,,1968,15,0,0
21356,Le Départ,,1966,PG,0,0
21357,The Sugarland Express,,1974,15,0,0
21358,Grand Prix,,1966,PG,0,0
21359,Death Race 2000,,1975,18,0,0
21360,"Leri, Oggi, e Domani","Yesterday, Today and Tomorrow",1964,15,0,0
21361,Matrimonio all'italiana,Marriage Italian-Style,1964,15,0,0
21362,Tenebrae,,1982,18,0,0
21363,The Jungle Book,,1967,U,0,0
21364,Scrooge,,1951,U,0,0
21365,Daleks - Invasion of Earth 2150AD,,1966,U,0,0
21366,The Limey,,1999,18,0,0
21367,Summer of Sam,,1999,18,0,0
21368,Out of Sight,,1998,15,0,0
21369,Buena Vista Social Club,,1999,U,0,0
21371,Whistle Down the Wind,,1961,U,0,0
21372,Lovers of the Arctic Circle,Los Amantes del Círculo Polar,1998,15,0,0
21373,Limbo,,1999,15,0,0
21374,Happy Holidays,,,U,0,0
21375,No Screenings,,,U,0,0
21377,The Cup,Phörpa,1999,PG,0,0
