ID,Title,Alternative Title,Year,Certificate,Director,Language,Duration,Country of Origin,Actors
105088,Art Party,,2014,TBA,"Bob and Roberta Smith, Tim Newton",English,80,UK,"John Voce, Julia Rayner"
104909,Willy Wonka & the Chocolate Factory plus interactive performance,,1971,U,Mel Stuart,English,100,United States,"Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear"
104876,Chinese Puzzle ,Casse-tÍte chinois,2013,15,CÈdric Klapisch,"English, French",117,"France, US, Belgium","Romain Duris, Audrey Tautou, CÈcile de France, Kelly Reilly"
104886,The Punk Singer,,2013,15,Sini Anderson,English,81,US,
104543,Cold in July,,2014,15,Jim Mickle,English,110,"US, France","Michael C. Hall, Don Johnson, Sam Shepard"
104545,Under The Rainbow,Au bout du conte,2013,15,AgnËs Jaoui,French,112,France,"AgnËs Jaoui, Arthur Dupont, Jean-Pierre Bacri, Agathe Bonitzer"
104539,Belle,,2013,12A,Amma Asante,English,105,Great Britain,"Gugu Mbatha-Raw, Tom Wilkinson, Sam Reid, Sarah Gadon, Miranda Richardson"
104536,Pantani: The Accidental Death of a Cyclist,,2013,15,James Erskine,English,96,Great Britain,
104533,Fruitvale Station,,2013,15,Ryan Coogler,English,85,US,"Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand, Chad Michael Murray"
104493,The Search for Weng Weng,,2007,15,Andrew Leavold,"English, Tagalog",92,"Philippines, Australia",
104437,NT Live: Skylight,,2014,live,Stephen Daldry,English,,Great Britain,"Bill Nighy, Carey Mulligan"
104188,American Interior,,2014,12A,"Dylan Goch, Gruff Rhys","English, Welsh",92,Great Britain,
104012,"PULP: a Film about Life, Death & Supermarkets with Live Satellite Q&A",,2014,12A,Florian Habicht,English,90,Great Britain,
104004,Monty Python Live (Mostly),,2014,live,,English,210,Great Britain,
103869,Matisse Live,,2014,live,Phil Grabsky,English,90,Great Britain,
103867,Concussion,,2013,15,Stacie Passon,English,96,United States,"Robin Weigert, Julie Fain Lawrence, Maren Shapero, Micah Shapero, Janel Moloney"
103689,In Bloom,Grzeli nateli dgeebi,2013,15,"Nana Ekvtimishvili, Simon Gross",Georgian,102,Georgia,"Lika Babluani, Mariam Bokeria, Zurab Gogaladze, Data Zakareishvili"
103697,Jimmy's Hall,,2014,12A,Ken Loach,English,108,"Great Britain, Ireland, France","Barry Ward, Simone Kirby, Andrew Scott"
103683,A Thousand Times Good Night,Tusen ganger god natt,2013,15,Erik Poppe,"English, Norwegian",117,Norway,"Nikolaj Coster-Waldau, Juliette Binoche, Maria Doyle Kennedy"
103494,The Two Faces of January,,2014,12A,Hossein Amini,English,96,"Great Britain, United States, France","Oscar Isaac, Viggo Mortensen, Kirsten Dunst, Daisy Bevan, Yigit ÷zsener, Prometheus Aleifer"
102280,Venus In Fur,La VÈnus ‡ la fourrure,2013,15,Roman Polanski,"French, German",96,"France, Poland","Emmanuelle Seigner, Mathieu Amalric"
103008,NT Live: Medea,,2014,live,Carrie Cracknell,English,150,Great Britain,Helen McCrory
102898,20 Feet from Stardom,,2013,12A,Morgan Neville,English,91,US,
102005,"Movement, Magic and Mirrors: Five short films by Maya Deren",,,12A,Maya Deren,English,75,United States,
102793,Omar,,2013,15,Hany Abu-Assad,"Arabic, Hebrew",98,Palestinian Territories,"Waleed Zuaiter, Adam Bakri, Leem Lubany"
102784,The Wind Rises,,2013,PG,Hayao Miyazaki,Japanese,127,Japan,"Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto, Joseph Gordon-Levitt, John Krasinski, Emily Blunt"
