ID,Title,Alternative Title,Year,Certificate,Director,Language,Duration,Country of Origin,Actors,tmdb_id
104909,Willy Wonka & the Chocolate Factory plus interactive performance,,1971,U,Mel Stuart,English,100,United States,"Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear",252
104876,Chinese Puzzle ,Casse-tÍte chinois,2013,15,CÈdric Klapisch,"English, French",117,"France, US, Belgium","Romain Duris, Audrey Tautou, CÈcile de France, Kelly Reilly",206408
104886,The Punk Singer,,2013,15,Sini Anderson,English,81,US,,178290
104543,Cold in July,,2014,15,Jim Mickle,English,110,"US, France","Michael C. Hall, Don Johnson, Sam Shepard",244509
104545,Under The Rainbow,Au bout du conte,2013,15,AgnËs Jaoui,French,112,France,"AgnËs Jaoui, Arthur Dupont, Jean-Pierre Bacri, Agathe Bonitzer",47941
104539,Belle,,2013,12A,Amma Asante,English,105,Great Britain,"Gugu Mbatha-Raw, Tom Wilkinson, Sam Reid, Sarah Gadon, Miranda Richardson",205601
104536,Pantani: The Accidental Death of a Cyclist,,2013,15,James Erskine,English,96,Great Britain,,258614
104533,Fruitvale Station,,2013,15,Ryan Coogler,English,85,US,"Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand, Chad Michael Murray",157354
104493,The Search for Weng Weng,,2007,15,Andrew Leavold,"English, Tagalog",92,"Philippines, Australia",,260949
104188,American Interior,,2014,12A,"Dylan Goch, Gruff Rhys","English, Welsh",92,Great Britain,,253318
104012,"PULP: a Film about Life, Death & Supermarkets with Live Satellite Q&A",,2014,12A,Florian Habicht,English,90,Great Britain,,253332
103867,Concussion,,2013,15,Stacie Passon,English,96,United States,"Robin Weigert, Julie Fain Lawrence, Maren Shapero, Micah Shapero, Janel Moloney",156965
103689,In Bloom,Grzeli nateli dgeebi,2013,15,"Nana Ekvtimishvili, Simon Gross",Georgian,102,Georgia,"Lika Babluani, Mariam Bokeria, Zurab Gogaladze, Data Zakareishvili",179246
103697,Jimmy's Hall,,2014,12A,Ken Loach,English,108,"Great Britain, Ireland, France","Barry Ward, Simone Kirby, Andrew Scott",262958
103683,A Thousand Times Good Night,Tusen ganger god natt,2013,15,Erik Poppe,"English, Norwegian",117,Norway,"Nikolaj Coster-Waldau, Juliette Binoche, Maria Doyle Kennedy",212606
103494,The Two Faces of January,,2014,12A,Hossein Amini,English,96,"Great Britain, United States, France","Oscar Isaac, Viggo Mortensen, Kirsten Dunst, Daisy Bevan, Yigit ÷zsener, Prometheus Aleifer",192149
102280,Venus In Fur,La VÈnus ‡ la fourrure,2013,15,Roman Polanski,"French, German",96,"France, Poland","Emmanuelle Seigner, Mathieu Amalric",197082
102898,20 Feet from Stardom,,2013,12A,Morgan Neville,English,91,US,,159014
102793,Omar,,2013,15,Hany Abu-Assad,"Arabic, Hebrew",98,Palestinian Territories,"Waleed Zuaiter, Adam Bakri, Leem Lubany",187028
102784,The Wind Rises,,2013,PG,Hayao Miyazaki,Japanese,127,Japan,"Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto, Joseph Gordon-Levitt, John Krasinski, Emily Blunt",149870
102797,Of Horses and Men,,2013,15,Benedict Erlingsson,"English, Icelandic, Swedish",81,"Iceland, Germany","Ingvar E. Sigursson, Charlotte B¯ving",217708
102777,Ilo Ilo,,2013,12A,Anthony Chen,"Mandarin, Tagalog",99,Singapore,"Angeli Bayani, Yeo Yann Yann, Chen Tian Wen, Koh Jia Ler",188598
102768,The Rocket,,2013,12A,Kim Mordaunt,Lao,96,"Thailand, Laos, Australia","Sitthiphon Disamoe, Loungnam Kaosainam, Thep Phongam",168742
102348,Lilting,,2014,TBA,Hong Khaou,English,91,Great Britain,"Ben Whishaw, Morven Christie, Peter Bowles",248212
102253,Fading Gigolo,,2013,15,John Turturro,English,90,US,"SofÌa Vergara, Woody Allen, Sharon Stone",214030
102263,Heli,,2013,18,Amat Escalante,Spanish,105,Mexico,"Armando Espitia, Andrea Vergara, Linda Gonz·lez, Juan Eduardo Palacios",186935
102243,A Touch of Sin,Tian zhu ding,2013,15,Jia Zhangke,Mandarin,130,China,"Jiang Wu, Wang Baoqiang, Zhao Tao, Luo Lanshan, Zhang Jiayi",187022
102232,Frank,,2014,15,Lenny Abrahamson,English,95,US,"Michael Fassbender, Domhnall Gleeson, Maggie Gyllenhaal, Scoot McNairy",171372
102476,Jesus of Nazareth,,1977,PG,Franco Zeffirelli,English,384,"Great Britain, Italy","Robert Powell, Olivia Hussey, Laurence Olivier",2413
102485,The Last Temptation of Christ,,1988,15,Martin Scorsese,English,163,United States,"Willem Dafoe, Harvey Keitel, Barbara Hershey",11051
102008,Blue Ruin,,2013,15,Jeremy Saulnier,English,90,US,"Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack",188166
102056,A Story of Children and Film,,2013,PG,Mark Cousins,English,106,Great Britain,,194537
102049,An Episode in the Life of an Iron Picker ,Epizoda u éivotu Bera a éeljeza,2013,12A,Danis Tanovic,Bosnian,74,"Slovenia, Bosnia Herzegovina, France",Senada Alimanovi,159942
102454,Moving,Ohikkoshi,1993,PG,Shinji SÙmai,Japanese,118,Japan,"Shinobu Chihara, Kiichi Nakai, Junko Sakurada",29739
102041,Exhibition,,2013,15,Joanna Hogg,,105,Great Britain,"Viv Albertine, Liam Gillick, Tom Hiddleston, Harry Kershaw",208028
102026,Calvary,,2013,15,John Michael McDonagh,English,101,"Ireland, Great Britain","Chris OíDowd, Brendan Gleeson, Dylan Moran, Kelly Reilly",157832
102020,The Lunchbox,Dabba,2013,PG,Ritesh Batra,"English, Hindi",105,"India, France, Germany, United States","Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Denzil Smith, Bharati Achrekar, Nakul Vaid",191714
102464,Palle Alone in the World,,1949,U,Astrid Henning-Jensen,Danish,25,Denmark,"Lars Henning-Jensen, Lily Broberg",160376
102009,Tom at the Farm,Tom ‡ la ferme,2013,15,Xavier Dolan,French,103,"France, Canada (Quebec)","Xavier Dolan, Pierre-Yves Cardinal, Lise Roy",184352
102468,Crows,Wrony,1994,PG,Dorota Kedzierzawska,Polish,66,Poland,"Karolina Ostrozna, Kasia Szczepanik, Malgorzata Hajewska",266076
102448,Little Fugitive,,1953,U,"Morris Engel, Ray Ashley, Ruth Orkin",English,80,United States,"Richie Andrusco, Richard Brewster, Winifred Cushing, Jay Williams",54951
101934,The Double,,2013,15,Richard Ayoade,English,93,Great Britain,"Jesse Eisenberg, Mia Wasikowska, Sally Hawkins",73499
102440,Willow and Wind,Beed-o baad,1999,PG,Mohammad-Ali Talebi,Farsi,81,Iran,"Hadi Alipour, Amir Janfada, Majid Alipour",247447
102268,United in Anger: A History of ACT UP,,2012,15,Jim Hubbard,English,93,United States,,118407
101982,Oberhausen on Tour: International Competition 2013,,2013,15,,,86,,
102155,Lift to the Scaffold,Ascenseur pour líÈchafaud,1958,PG,Louis Malle,"French, German",93,France,"Jeanne Moreau, Maurice Ronet, Georges Poujouly, Yori Bertin",1093
102150,The General,,1926,U,"Buster Keaton, Clyde Bruckman",Silent,89,US,"Buster Keaton, Marion Mack, Glan Canvender, Jim Farley",961
102369,Breadcrumb Trail ,,2014,15,Lance Bangs,English,90,United States,,255885
101944,ICA Artists' Moving Image Network: 21st Century Pop,,,18,,,,,
101949,ICA Artists' Moving Image Network: Keren Cytter ,,,18,,,,,
101957,ICA Artists' Moving Image Network: Steven Claydon ,,,PG,Steven Claydon,,,,
101966,Oberhausen on Tour: Artist Film and Video 2013 ,,2013,15,,,91,,
101157,Nymphomaniac Volume 1,,2013,18,Lars von Trier,English,118,"Germany, Denmark, France, Belgium, Great Britain","Charlotte Gainsbourg, Stellan SkarsgÂrd, Stacy Martin, Shia LaBeouf, Christian Slater, Jamie Bell, Uma Thurman, Willem Dafoe, Mia Goth, Sophie Kennedy Clark, Connie Nielsen, MichaÎl Pas, Jean-Marc Barr, Udo Kier",110414
101176,Nymphomaniac Volume 2,,2013,18,Lars von Trier,English,123,"Great Britain, Germany, France, Denmark, Belgium","Stacy Martin, Sophie Kennedy Clark, Stellan SkarsgÂrd, Udo Kier, Willem Dafoe, Uma Thurman, Shia LaBeouf, MichaÎl Pas, Connie Nielsen, Christian Slater, Jamie Bell, Jean-Marc Barr, Mia Goth, Charlotte Gainsbourg",249397
101034,Yves Saint Laurent,,2014,15,Jalil Lespert,French,106,France,"Guillaume Gallienne, Pierre Niney, Charlotte Le Bon, Laura Smet, Marie de Villepin, Nikolai Kinski",245775
101043,The Past,Le passÈ,2013,12A,Asghar Farhadi,French,131,"France, Italy","BÈrÈnice Bejo, Tahar Rahim, Ali Mosaffa",127585
101028,Under the Skin,,2013,15,Jonathan Glazer,,108,Great Britain,"Scarlett Johansson, Antonia Campbell-Hughes, Paul Brannigan",97370
100480,Preview/ Northern Soul - part of the 6 Music Festival Fringe,,2014,15,Elaine Constantine,English,99,Great Britain,"Elliot James Langridge, Joshua Whitehouse, Antonia Thomas, Jack Gordon, Steve Coogan, Lisa Stansfield"
100265,Men˙ degustaciÛ,Tasting Menu,2013,12A,Roger Gual,"Catalan, English, Japanese, Spanish",87,Spain,"Jan Cornet, Claudia Bassols, Fionnula Flanagan, Stephen Rea, Vicenta NíDongo, Andrew Tarbet, Togo Igawa, Andrea Ros, Marta Torne"
100412,La PasiÛn de Michelangelo,The Passion of Michelangelo,2012,12A,Esteban LarraÌn,Spanish,97,"Chile, France, Argentina","Sebasti·n Ayala, Claudia CeledÛn, Patricio Contreras, Roberto FarÌas, Catalina Saavedra, Alejandro Sieveking",249753
100405,Mar del Plata,,2012,12A,"Ionathan Klajman, Sebasti·n Dietsch",Spanish,82,Argentina,"Pablo G. PÈrez, Gabriel Zayat, Pablo Caramelo, Lorena Damonte"
100287,Los ⁄ltimos dÌas,The Last Days,2013,15,"¿lex Pastor, David Pastor",Spanish,100,Spain,"Quim GutiÈrrez, JosÈ Coronado, Marta Etura, Leticia Dolera",20595
100423,Las Brujas De Zugarramurdi,Witching and Bitching,2013,18,Alex de la Iglesia,Spanish,104,"Spain, France","Mario Casas, Hugo Silva, Carmen Maura, Carolina Bang, Santiago Segura, Carlos Areces, Javier Botet",179538
100295,24 cines por segundo: S·banas blancas,Blank Canvas,2013,U,Mariela Artiles,Spanish,61,Spain,
100305,Cazando luciÈrnagas,Chasing Fireflies,2012,U,Roberto Flores Prieto,Spanish,106,Colombia,"Marlon Moreno, Valentina Abril",228585
100397,Bertsolari,,2011,U,Asier Altuna,Basque,90,Spain,,139863
100387,Born Naked (MLB),,2012,12A,Andrea Esteban,"English, German, Spanish",74,"Spain, Germany, Great Britain",
100377,Preview/ La Partida,The Last Match,2013,18,Antonio Hens,Spanish,96,"Cuba, Spain","Milton GarcÌa, Reinier DÌaz, Luis Alberto GarcÌa, Mirta Ibarra, Toni CantÛ"
